#Unique identifier for interactor A	Unique identifier for interactor B	Alternative identifier for interactor A	Alternative identifier for interactor B	Aliases for A	Aliases for B	Interaction detection methods	First author	Identifier of the publication	NCBI Taxonomy identifier for interactor A	NCBI Taxonomy identifier for interactor B	Interaction types	Source databases	Interaction identifier(s)	Confidence score	Complex expansion	Biological role A	Biological role B	Experimental role A	Experimental role B	Interactor type A	Interactor type B	Xref for interactor A	Xref for interactor B	Xref for the interaction	Annotations for interactor A	Annotations for interactor B	Annotations for the interaction	NCBI Taxonomy identifier for the host organism	Parameters of the interaction	Creation date	Update date	Checksum for interactor A	Checksum for interactor B	Checksum for interaction	negative	Feature(s) for interactor A	Feature(s) for interactor B	Stoichiometry for interactor A	Stoichiometry for interactor B	Participant identification method for interactor A	Participant identification method for interactor B
ebi:EBI-2881451	uniprotkb:Q05793	matrixdb:MULT_78_human	matrixdb:Q05793	matrixdb:PDGF-BB(short label)	uniprotkb:hspg2(gene name)	psi-mi:"MI:0107"(surface plasmon resonance)	Gohring et al.(1998)	pubmed:9692901|imex:IM-14103	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_78_human__Q05793_9692901_MatrixDB_1|imex:IM-14103-11	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure Table 1"	taxid:-1("in vitro")	kd:3(nanomolar)|kon:240000(M-1.s-1)|koff:0.00078(s-1)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-2881451	uniprotkb:Q08879-2	matrixdb:MULT_78_human	matrixdb:Q08879	matrixdb:PDGF-BB(short label)	uniprotkb:fbln1(gene name)	psi-mi:"MI:0107"(surface plasmon resonance)	Gohring et al.(1998)	pubmed:9692901|imex:IM-14103	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_78_human__Q08879_9692901_MatrixDB_1|imex:IM-14103-16	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure Table 2"	taxid:-1("in vitro")	kd:326(nanomolar)|kon:150000(M-1.s-1)|koff:0.049(s-1)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-2881443	uniprotkb:P07214	matrixdb:MULT_79_human	matrixdb:P07214	matrixdb:PDGF-AB(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Raines et al.(1992)	pubmed:1311092|imex:IM-14090	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_79_human__P07214_1311092_MatrixDB_1|imex:IM-14090-5	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 1A"	taxid:-1("in vitro")	-	-	-	-	-	-	-	125i_radiolabel:?-?	-	-	-	psi-mi:"MI:0833"(autoradiography)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-2881443	uniprotkb:P07214	matrixdb:MULT_79_human	matrixdb:P07214	matrixdb:PDGF-AB(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0405"(competition binding)	Raines et al.(1992)	pubmed:1311092|imex:IM-14090	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_79_human__P07214_1311092_MatrixDB_2|imex:IM-14090-6	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 5"	taxid:-1("in vitro")	kd:10(nanomolar)	-	-	-	-	-	-	125i_radiolabel:?-?	-	-	-	psi-mi:"MI:0833"(autoradiography)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-2881436	uniprotkb:P07214	matrixdb:MULT_80_human	matrixdb:P07214	matrixdb:PDGF-AA(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0107"(surface plasmon resonance)	Gohring et al.(1998)	pubmed:9692901|imex:IM-14103	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_80_human__P07214_9692901_MatrixDB_1|imex:IM-14103-3	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure Table 2"	taxid:-1("in vitro")	kd:4(nanomolar)|kon:35000(M-1.s-1)|koff:0.00014(s-1)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-2881436	uniprotkb:P09486	matrixdb:MULT_80_human	matrixdb:P09486	matrixdb:PDGF-AA(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0107"(surface plasmon resonance)	Gohring et al.(1998)	pubmed:9692901|imex:IM-14103	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_80_human__P09486_9692901_MatrixDB_1|imex:IM-14103-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure Table 2"	taxid:-1("in vitro")	kd:14(nanomolar)|kon:55000(M-1.s-1)|koff:0.0009(s-1)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-2881436	uniprotkb:P09486	matrixdb:MULT_80_human	matrixdb:P09486	matrixdb:PDGF-AA(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0107"(surface plasmon resonance)	Gohring et al.(1998)	pubmed:9692901|imex:IM-14103	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_80_human__P09486_9692901_MatrixDB_2|imex:IM-14103-2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure Table 2"	taxid:-1("in vitro")	kd:8(nanomolar)|kon:83000(M-1.s-1)|koff:0.0007(s-1)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-2881436	uniprotkb:P10493	matrixdb:MULT_80_human	matrixdb:P10493	matrixdb:PDGF-AA(short label)	uniprotkb:NID1(gene name)	psi-mi:"MI:0107"(surface plasmon resonance)	Gohring et al.(1998)	pubmed:9692901|imex:IM-14103	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_80_human__P10493_9692901_MatrixDB_1|imex:IM-14103-8	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure Table 1"	taxid:-1("in vitro")	kd:6(nanomolar)|kon:40000(M-1.s-1)|koff:0.00023(s-1)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-2881436	uniprotkb:P10493	matrixdb:MULT_80_human	matrixdb:P10493	matrixdb:PDGF-AA(short label)	uniprotkb:NID1(gene name)	psi-mi:"MI:0107"(surface plasmon resonance)	Gohring et al.(1998)	pubmed:9692901|imex:IM-14103	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_80_human__P10493_9692901_MatrixDB_2|imex:IM-14103-9	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure Table 1"	taxid:-1("in vitro")	kd:7(nanomolar)|kon:52000(M-1.s-1)|koff:0.00036(s-1)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-2881436	uniprotkb:Q05793	matrixdb:MULT_80_human	matrixdb:Q05793	matrixdb:PDGF-AA(short label)	uniprotkb:hspg2(gene name)	psi-mi:"MI:0107"(surface plasmon resonance)	Gohring et al.(1998)	pubmed:9692901|imex:IM-14103	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_80_human__Q05793_9692901_MatrixDB_1|imex:IM-14103-10	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Heparitinase-treated perlecan"|comment:"Figure Table 1"	taxid:-1("in vitro")	kd:23(nanomolar)|kon:34000(M-1.s-1)|koff:0.00078(s-1)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-6910621	uniprotkb:P98160	matrixdb:MULT_81_VAR1_human	matrixdb:P98160	matrixdb:VEGF-A165(short label)	uniprotkb:hspg2(gene name)	psi-mi:"MI:0047"(far western blotting)	Zoeller et al.(2009)	pubmed:19422911|imex:IM-12212	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_81_VAR1_human__P98160_19422911_MatrixDB_1|imex:IM-12212-3	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Perlecan binds VEGF-A via the heparan sulfate side chains"|comment:"Figure 5"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0086"(polyclonal antibody western blot)
ebi:EBI-9656926	uniprotkb:P21810	matrixdb:MULT_81_VAR1_mouse	matrixdb:P21810	matrixdb:VEGF-A165(short label)	uniprotkb:bgn(gene name)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Berendsen et al.(2014)	pubmed:24373744	taxid:10090("Mus musculus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_81_VAR1_mouse__P21810_24373744_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0981"(tag visualisation by peroxidase activity)
ebi:EBI-9656926	uniprotkb:P21810	matrixdb:MULT_81_VAR1_mouse	matrixdb:P21810	matrixdb:VEGF-A165(short label)	uniprotkb:bgn(gene name)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Berendsen et al.(2014)	pubmed:24373744	taxid:10090("Mus musculus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_81_VAR1_mouse__P21810_24373744_MatrixDB_2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0421"(identification by antibody)	psi-mi:"MI:0421"(identification by antibody)
ebi:EBI-6264901	matrixdb:SPEP_4	matrixdb:MULT_82_human	ebi:EBI-6252260	matrixdb:Complement 1Q(short label)	matrixdb:CRLKEKHC(short label)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Houimel et al.(2012)	pubmed:22100634|imex:IM-17881	taxid:9606("Homo sapiens")	-	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:MULT_82_human__SPEP_4_22100634_MatrixDB_1|imex:IM-17881-5	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0327"(peptide)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:O00206	uniprotkb:P21810	matrixdb:O00206	matrixdb:P21810	uniprotkb:TLR4(gene name)	uniprotkb:bgn(gene name)	psi-mi:"MI:1247"(microscale thermophoresis)	Moreth et al.(2014)	pubmed:24480070|imex:IM-22963	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O00206__P21810_24480070_MatrixDB_1|imex:IM-22963-2	-	-	psi-mi:"MI:0919"(acceptor)	psi-mi:"MI:0919"(acceptor)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	kd:28 ~8(nanomolar)	-	-	-	-	-	-	sufficient_binding_site:24-631	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:O00468	uniprotkb:P05067-PRO_0000000092	matrixdb:O00468	matrixdb:PFRAG_12_human	uniprotkb:agrn(gene name)	matrixdb:"Beta-amyloid peptide 1-42"(short label)|matrixdb:"Peptide (1-42) of the amyloid precursor protein"(synonym)	psi-mi:"MI:0921"(surface plasmon resonance array)	Salza et al.(2017)	pubmed:28106549|imex:IM-25796	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O00468__PFRAG_12_human_28106549_MatrixDB_1|imex:IM-25796-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	sufficient_binding_site:1260-2045	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:O00468	uniprotkb:Q91V88	matrixdb:O00468	matrixdb:Q91V88	uniprotkb:agrn(gene name)	uniprotkb:npnt(gene name)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Sato et al.(2013)	pubmed:23357641|imex:IM-20972	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O00468__Q91V88_23357641_MatrixDB_1|imex:IM-20972-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	necessary_binding_site:420-561|mutation_decreasing_interaction:445-445|mutation_decreasing_interaction:502-502,503-503,504-504|mutation_decreasing_interaction:528-528|mutation_decreasing_interaction:541-541,542-542,543-543|mutation_decreasing_interaction:557-557,558-558,559-559,560-560|mutation_decreasing_interaction:459-459,464-464|mutation_decreasing_interaction:471-471|flag_tag:c-c	-	-	psi-mi:"MI:0707"(anti tag immunostaining)	psi-mi:"MI:0707"(anti tag immunostaining)
uniprotkb:P26022	uniprotkb:O08859	matrixdb:P26022	matrixdb:O08859	uniprotkb:PTX3(gene name)	uniprotkb:tnfaip6(gene name)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Ievoli et al.(2011)	pubmed:21619930|imex:IM-16511	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O08859__P26022_21619930_MatrixDB_1|imex:IM-16511-5	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"TSG-6, as in the case for the I?I, recognized the N-terminal domain of PTX3, and that both the single and the triple mutants of N_PTX3 had a TSG-6 binding activity identical to the wild type N_PTX3, with a small difference for the double mutant"|comment:"Figure 3B"	taxid:-1("in vitro")	-	-	-	-	-	-	-	sufficient_binding_site:18-170|his_tag:c-c|mutation_decreasing_interaction:103-103|mutation_decreasing_interaction:47-47,49-49|mutation_decreasing_interaction:47-47,49-49	sufficient_binding_site:18-275|his_tag:c-c	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)
uniprotkb:P26022	uniprotkb:O08859	matrixdb:P26022	matrixdb:O08859	uniprotkb:PTX3(gene name)	uniprotkb:tnfaip6(gene name)	psi-mi:"MI:0405"(competition binding)	Ievoli et al.(2011)	pubmed:21619930|imex:IM-16511	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O08859__P26022_21619930_MatrixDB_2|imex:IM-16511-6	-	-	psi-mi:"MI:0941"(competitor)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"the triple mutant of N_PTX3, that only forms dimers, could compete for the binding of biotinylated recombinant full length PTX3 to TSG-6 with a potency comparable to that of wild type N_PTX3"|comment:"Figure 4B"	taxid:-1("in vitro")	-	-	-	-	-	-	-	sufficient_binding_site:18-170|his_tag:c-c|biotin_tag:?-?|mutation_decreasing_interaction:47-47,49-49	sufficient_binding_site:18-275|his_tag:c-c	-	-	psi-mi:"MI:0981"(tag visualisation by peroxidase activity)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:O14727	uniprotkb:P28301	matrixdb:O14727	matrixdb:P28301	uniprotkb:apaf1(gene name)	uniprotkb:lox(gene name)	psi-mi:"MI:0096"(pull down)	Sato et al.(2011)	pubmed:21536655|imex:IM-22090	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O14727__P28301_21536655_MatrixDB_1|imex:IM-22090-18	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:9606("Homo sapiens")	-	-	-	-	-	-	-	-	sufficient_binding_site:1-162	-	-	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprotkb:O14786	uniprotkb:P05067-PRO_0000000092	matrixdb:O14786	matrixdb:PFRAG_12_human	uniprotkb:NRP1(gene name)	matrixdb:"Beta-amyloid peptide 1-42"(short label)|matrixdb:"Peptide (1-42) of the amyloid precursor protein"(synonym)	psi-mi:"MI:0921"(surface plasmon resonance array)	Salza et al.(2017)	pubmed:28106549|imex:IM-25796	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O14786__PFRAG_12_human_28106549_MatrixDB_1|imex:IM-25796-11	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	sufficient_binding_site:23-815	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:O15232	uniprotkb:P49747	matrixdb:O15232	matrixdb:P49747	uniprotkb:MATN3(gene name)	uniprotkb:comp(gene name)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Vincourt et al.(2012)	pubmed:22521401|imex:IM-17880	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O15232__P49747_22521401_MatrixDB_1|imex:IM-17880-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0421"(identification by antibody)	psi-mi:"MI:0421"(identification by antibody)
uniprotkb:O35988	uniprotkb:Q15113	matrixdb:O35988	matrixdb:Q15113	uniprotkb:SDC4(gene name)	uniprotkb:PCOLCE(gene name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Weiss et al.(2014)	pubmed:25286301	taxid:10090("Mus musculus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O35988__Q15113_25286301_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0705"(anti tag western blot)	psi-mi:"MI:0705"(anti tag western blot)
uniprotkb:O35988	uniprotkb:Q15113	matrixdb:O35988	matrixdb:Q15113	uniprotkb:SDC4(gene name)	uniprotkb:PCOLCE(gene name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Weiss et al.(2014)	pubmed:25286301	taxid:10090("Mus musculus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O35988__Q15113_25286301_MatrixDB_2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0705"(anti tag western blot)	psi-mi:"MI:0705"(anti tag western blot)
uniprotkb:P16636	uniprotkb:O43897	matrixdb:P16636	matrixdb:O43897	uniprotkb:lox(gene name)	uniprotkb:tll1(gene name)	psi-mi:"MI:0415"(enzymatic study)	Uzel et al.(2001)	pubmed:11313359	taxid:10116("Rattus norvegicus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O43897__P16636_11313359_MatrixDB_1	-	-	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0816"(molecular weight estimation by staining)
uniprotkb:O60568	uniprotkb:O60568	matrixdb:O60568	matrixdb:O60568	uniprotkb:plod3(gene name)	uniprotkb:plod3(gene name)	psi-mi:"MI:0071"(molecular sieving)	Heikkinen et al.(2011)	pubmed:20955792|imex:IM-16015	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:O60568__O60568_20955792_MatrixDB_1|imex:IM-16015-1	-	-	psi-mi:"MI:0503"(self)	psi-mi:"MI:0503"(self)	psi-mi:"MI:0503"(self)	psi-mi:"MI:0503"(self)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure Table 1"	taxid:-1("in vitro")	-	-	-	-	-	-	-	sufficient_binding_site:25-547|his_tag:n-n	sufficient_binding_site:25-547|his_tag:n-n	-	-	psi-mi:"MI:0705"(anti tag western blot)	psi-mi:"MI:0705"(anti tag western blot)
